City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Namibe,0,AO,1554088351.0,100,-15.19,-15.19,77.87,6.2
Ilulissat,0,GL,1554083400.0,61,69.22,69.22,15.8,18.34
Rikitea,36,PF,1554088172.0,100,-23.12,-23.12,76.79,16.82
Saldanha,20,PT,1554088351.0,94,41.42,41.42,39.8,2.62
Albany,75,US,1554088140.0,64,42.65,42.65,37.0,12.75
Nikolskoye,0,RU,1554088300.0,84,59.7,59.7,32.0,11.18
Cabo San Lucas,5,MX,1554087920.0,41,22.89,22.89,77.0,6.93
Richards Bay,0,ZA,1554088352.0,93,-28.77,-28.77,70.13,11.01
Severo-Kurilsk,76,RU,1554088352.0,100,50.68,50.68,29.63,2.06
Punta Arenas,75,CL,1554087746.0,87,-53.16,-53.16,50.0,8.05
Plouzane,8,FR,1554088325.0,87,48.38,48.38,48.99,5.82
Ibotirama,0,BR,1554088353.0,93,-12.18,-12.18,71.21,3.85
Mama,40,MX,1554087694.0,69,20.48,20.48,79.0,6.93
Mataura,80,NZ,1554087609.0,75,-46.19,-46.19,53.01,8.01
Port-Gentil,8,GA,1554088353.0,98,-0.72,-0.72,81.92,5.97
Hithadhoo,0,MV,1554088354.0,100,-0.6,-0.6,83.18,5.53
Ketchikan,1,US,1554083760.0,70,55.34,55.34,55.4,18.34
Chokurdakh,0,RU,1554088354.0,96,70.62,70.62,21.35,4.97
Rocha,64,UY,1554088354.0,96,-34.48,-34.48,59.51,3.96
Yellowknife,90,CA,1554088084.0,86,62.45,62.45,33.8,18.34
Hermanus,44,ZA,1554087686.0,67,-34.42,-34.42,57.0,3.0
Vardo,90,US,1554088354.0,39,39.62,39.62,34.0,6.93
Nishihara,40,JP,1554088345.0,74,35.74,35.74,57.99,6.93
Namatanai,56,PG,1554088355.0,97,-3.66,-3.66,83.45,12.24
Duiwelskloof,44,ZA,1554088356.0,90,-23.69,-23.69,60.05,2.95
Noumea,75,NC,1554085800.0,62,-22.28,-22.28,86.0,12.75
Ushuaia,90,AR,1554084000.0,76,-54.81,-54.81,48.2,10.29
Airai,8,TL,1554088356.0,55,-8.93,-8.93,83.81,1.72
Bambous Virieux,75,MU,1554088142.0,94,-20.34,-20.34,75.99,5.82
Saint George,0,GR,1554087811.0,86,39.45,39.45,48.99,2.62
Hobart,40,AU,1554088216.0,41,-42.88,-42.88,62.01,8.05
Avarua,0,CK,1554085800.0,88,-21.21,-21.21,82.4,9.17
Atuona,20,PF,1554088168.0,100,-9.8,-9.8,82.28,12.01
Busselton,48,AU,1554088029.0,31,-33.64,-33.64,84.99,12.35
Westport,76,IE,1554088325.0,90,53.8,53.8,42.01,1.01
Norman Wells,90,CA,1554087420.0,94,65.28,65.28,32.0,11.41
Conde,88,BR,1554088357.0,100,-11.81,-11.81,77.42,5.08
Lazaro Cardenas,5,MX,1554088214.0,33,28.39,28.39,63.0,5.82
Jamestown,0,AU,1554088173.0,60,-33.21,-33.21,67.43,2.51
Puerto Ayora,0,EC,1554087671.0,93,-0.74,-0.74,79.0,6.98
Benjamin Hill,8,MX,1554088277.0,17,30.17,30.17,71.01,4.0
Yerbogachen,48,RU,1554088358.0,70,61.28,61.28,33.59,6.64
Cherskiy,0,RU,1554088359.0,68,68.75,68.75,16.13,3.96
Ahipara,92,NZ,1554088359.0,100,-35.17,-35.17,68.24,7.76
Yulara,0,AU,1554084000.0,22,-25.24,-25.24,75.2,13.87
Qaanaaq,68,GL,1554088173.0,79,77.48,77.48,-1.79,6.42
New Norfolk,40,AU,1554088156.0,41,-42.78,-42.78,62.01,8.05
Tefe,20,BR,1554088198.0,80,-3.35,-3.35,79.4,4.97
Bayeux,8,FR,1554087602.0,93,49.28,49.28,45.0,4.7
Lavrentiya,64,RU,1554088360.0,100,65.58,65.58,29.18,5.3
Chuy,44,UY,1554088167.0,90,-33.69,-33.69,64.01,4.97
Ancud,90,CL,1554084000.0,100,-41.87,-41.87,51.8,4.7
Buluang,20,PH,1554084000.0,54,10.47,10.47,84.2,12.75
Meadow Lake,24,CA,1554088421.0,62,54.13,54.13,29.09,6.2
Lebu,12,ET,1554088421.0,92,8.96,8.96,48.26,3.62
Bignona,0,SN,1554088421.0,47,12.8,12.8,77.69,4.41
Cairns,75,AU,1554088401.0,62,-16.92,-16.92,87.8,12.75
Hambantota,20,LK,1554084600.0,94,6.12,6.12,80.6,5.82
Bredasdorp,8,ZA,1554084000.0,76,-34.53,-34.53,55.4,8.05
Burla,0,RU,1554088422.0,78,53.34,53.34,33.95,6.42
Salalah,75,OM,1554083400.0,78,17.01,17.01,75.2,3.36
Nuevo Progreso,90,US,1554088227.0,87,26.05,26.05,48.99,8.05
Kutum,0,SD,1554088422.0,26,14.2,14.2,59.24,10.67
Kysyl-Syr,48,RU,1554088422.0,67,63.9,63.9,32.33,4.52
Cape Town,40,ZA,1554088091.0,67,-33.93,-33.93,59.0,12.75
Niihama,75,JP,1554087824.0,31,33.96,33.96,54.0,18.34
Kenai,1,US,1554088324.0,43,60.55,60.55,51.8,5.82
Clyde River,90,CA,1554084000.0,91,70.47,70.47,1.4,5.82
Kodiak,1,US,1554088150.0,40,39.95,39.95,37.99,5.82
Bethel,1,US,1554083760.0,53,60.79,60.79,51.8,11.41
Shingu,20,JP,1554084000.0,50,33.72,33.72,51.8,17.22
Dikson,76,RU,1554088424.0,97,73.51,73.51,30.17,19.39
Florence,20,US,1554088384.0,48,34.8,34.8,46.0,11.41
Pasni,0,PK,1554088425.0,78,25.26,25.26,77.24,7.65
Castro,90,CL,1554084000.0,100,-42.48,-42.48,51.8,4.7
Port Elizabeth,1,US,1554088397.0,41,39.31,39.31,44.01,14.99
Muscat,0,OM,1554083400.0,69,23.6,23.6,73.4,3.36
Klaksvik,80,FO,1554085200.0,81,62.23,62.23,42.8,11.41
East London,90,ZA,1554085980.0,82,-33.02,-33.02,62.6,24.16
Opole,0,PL,1554088231.0,67,50.67,50.67,35.12,6.76
Mahebourg,75,MU,1554088142.0,94,-20.41,-20.41,75.99,5.82
Hasaki,75,JP,1554087278.0,30,35.73,35.73,61.0,12.75
Provideniya,90,RU,1554085800.0,100,64.42,64.42,32.0,6.71
Sovetskiy,76,RU,1554088426.0,92,56.76,56.76,34.22,15.26
Vaini,0,IN,1554084000.0,88,15.34,15.34,71.6,3.36
Barrow,44,AR,1554088427.0,60,-38.31,-38.31,68.15,7.76
Tashara,56,RU,1554088427.0,94,55.52,55.52,32.06,12.91
Barzas,75,RU,1554085800.0,89,55.72,55.72,32.0,15.66
Gornopravdinsk,0,RU,1554088427.0,74,60.06,60.06,30.08,9.22
Tuktoyaktuk,75,CA,1554084000.0,85,69.44,69.44,19.4,26.4
Vostok,76,RU,1554088428.0,51,46.45,46.45,29.9,3.4
Kieta,56,PG,1554088428.0,100,-6.22,-6.22,81.2,2.73
Dawlatabad,8,AF,1554088428.0,68,36.41,36.41,49.25,6.76
Fortuna,75,ES,1554088412.0,93,38.18,38.18,55.4,4.7
Iqaluit,75,CA,1554088322.0,77,63.75,63.75,3.2,5.82
Port Alfred,20,ZA,1554088170.0,94,-33.59,-33.59,66.35,24.54
Hanzhong,64,CN,1554088429.0,33,33.08,33.08,60.41,3.29
Yeniseysk,92,RU,1554088429.0,96,58.45,58.45,36.92,8.99
Hovd,75,NO,1554088265.0,85,63.83,63.83,37.0,21.92
Hienghene,0,NC,1554088430.0,100,-20.68,-20.68,79.58,9.89
Dingle,0,PH,1554088449.0,43,11.0,11.0,88.13,13.24
Fort Nelson,40,CA,1554084000.0,31,58.81,58.81,48.2,3.36
Dukat,0,RS,1554088254.0,68,42.44,42.44,35.01,2.06
Tiarei,75,PF,1554088342.0,74,-17.53,-17.53,86.0,6.93
Geraldton,20,CA,1554084000.0,57,49.72,49.72,23.0,6.93
Maniitsoq,76,GL,1554088491.0,87,65.42,65.42,22.97,12.8
Magadan,64,RU,1554088454.0,89,59.56,59.56,32.15,15.26
Pevek,20,RU,1554088177.0,76,69.7,69.7,11.63,3.29
Arteaga,40,MX,1554088317.0,87,25.45,25.45,48.99,9.17
Balsas,64,BR,1554088491.0,93,-7.53,-7.53,73.73,2.84
Burnie,0,AU,1554088427.0,40,-41.05,-41.05,69.01,3.0
Holme,90,GB,1554088447.0,86,53.7,53.7,42.8,5.82
Mae Tha,0,TH,1554087893.0,39,18.46,18.46,84.99,3.36
Ixtapa,5,MX,1554088217.0,88,20.71,20.71,73.99,8.05
Solnechnyy,80,RU,1554088492.0,71,50.72,50.72,27.83,6.42
Vao,8,EE,1554088493.0,88,59.1,59.1,30.98,10.0
Severo-Yeniseyskiy,88,RU,1554088322.0,86,60.37,60.37,37.73,9.78
Sibolga,56,ID,1554088493.0,88,1.74,1.74,77.96,1.5
Cabedelo,90,BR,1554084000.0,100,-6.97,-6.97,77.0,5.82
Bluff,0,AU,1554088493.0,47,-23.58,-23.58,79.13,6.98
Ponta do Sol,32,BR,1554088177.0,81,-20.63,-20.63,64.1,2.51
Sambava,44,MG,1554088494.0,100,-14.27,-14.27,80.21,3.18
Lamu,68,ID,1554088494.0,85,0.57,0.57,82.1,1.95
Raudeberg,92,NO,1554088203.0,93,61.99,61.99,37.99,18.34
Berezovyy,68,RU,1554088494.0,59,51.67,51.67,28.19,4.85
Ribeira Grande,64,PT,1554088495.0,100,38.52,38.52,59.33,25.55
Yaan,44,NG,1554088495.0,78,7.38,7.38,79.94,7.87
Camacha,40,PT,1554085800.0,82,33.08,33.08,59.0,10.29
Upernavik,80,GL,1554088495.0,100,72.79,72.79,10.73,4.85
Chalons-en-Champagne,0,FR,1554088325.0,62,48.95,48.95,51.8,10.29
Krasnyy Chikoy,0,RU,1554088495.0,33,50.36,50.36,38.0,3.18
Katsuura,75,JP,1554087859.0,53,33.93,33.93,50.0,19.46
Vazante,32,BR,1554088496.0,78,-17.99,-17.99,70.22,2.62
Saint-Philippe,90,CA,1554088188.0,90,45.36,45.36,32.0,10.29
Umm Lajj,0,SA,1554088496.0,100,25.02,25.02,58.16,6.98
Anito,8,PH,1554088496.0,96,12.45,12.45,80.66,11.68
Nanning,90,CN,1554084000.0,82,22.83,22.83,62.6,4.47
Nanortalik,12,GL,1554088497.0,100,60.14,60.14,26.48,19.28
Touros,40,BR,1554084000.0,100,-5.2,-5.2,77.0,2.24
Mar del Plata,36,AR,1554088497.0,48,-46.43,-46.43,63.2,13.13
Pop,92,UZ,1554085800.0,76,40.87,40.87,50.0,6.93
Arraial do Cabo,20,BR,1554088175.0,98,-22.97,-22.97,74.99,3.62
Timizart,92,DZ,1554088057.0,98,36.8,36.8,53.01,2.17
Cidreira,0,BR,1554088498.0,95,-30.17,-30.17,66.17,2.62
Christchurch,0,NZ,1554088204.0,27,-43.53,-43.53,78.01,24.16
Coahuayana,0,MX,1554088498.0,56,18.62,18.62,64.01,2.17
Torbay,90,CA,1554088406.0,100,47.66,47.66,45.0,8.05
Southbridge,40,US,1554088474.0,74,42.08,42.08,39.2,17.22
Kwinana,64,AU,1554088305.0,54,-32.25,-32.25,82.99,11.41
Bloomington,1,US,1554088498.0,68,40.47,40.47,33.01,4.7
Acapulco,5,MX,1554086700.0,73,16.86,16.86,77.0,4.7
Beringovskiy,88,RU,1554088560.0,96,63.05,63.05,32.6,16.26
Canavieiras,92,BR,1554088560.0,82,-15.68,-15.68,79.49,5.97
Awjilah,0,LY,1554088560.0,74,29.14,29.14,46.91,3.06
Longyearbyen,40,NO,1554083400.0,65,78.22,78.22,6.8,4.7
Svecha,88,RU,1554088560.0,97,58.28,58.28,36.38,10.0
Dembi Dolo,0,ET,1554088561.0,78,8.53,8.53,59.33,2.73
Kapaa,20,US,1554088411.0,54,22.08,22.08,80.6,19.46
Kusu,75,JP,1554088471.0,45,33.28,33.28,55.0,18.34
Iquitos,75,PE,1554084000.0,94,-3.75,-3.75,78.8,3.36
Le Mars,1,US,1554088554.0,60,42.79,42.79,44.6,12.75
Matagami,20,NG,1554088562.0,73,9.67,9.67,66.71,1.95
Aklavik,90,CA,1554086460.0,73,68.22,68.22,26.6,12.75
Port Hardy,20,CA,1554087180.0,70,50.7,50.7,48.2,2.24
Pyaozerskiy,0,RU,1554088562.0,75,65.83,65.83,23.06,8.77
Avera,1,US,1554088531.0,35,33.19,33.19,55.4,9.17
Indramayu,56,ID,1554088562.0,80,-4.05,-4.05,77.33,1.83
Sfantu Gheorghe,0,RO,1554087600.0,86,44.65,44.65,42.8,3.36
Cayenne,80,GF,1554085800.0,78,4.94,4.94,78.8,6.98
Guane,80,CU,1554088563.0,72,22.2,22.2,76.43,2.06
Okhotsk,0,RU,1554088563.0,61,59.36,59.36,35.75,5.75
Haines Junction,0,CA,1554088564.0,50,60.75,60.75,37.19,2.06
Tasiilaq,88,GL,1554087000.0,73,65.61,65.61,23.0,4.7
Mareeba,75,AU,1554088457.0,62,-16.99,-16.99,87.8,12.75
High Level,40,CA,1554087600.0,38,58.52,58.52,42.8,2.24
Sao Filipe,0,CV,1554088564.0,98,14.9,14.9,70.31,14.7
Saskylakh,44,RU,1554088565.0,92,71.97,71.97,26.39,13.24
Mahon,75,IE,1554087600.0,93,51.89,51.89,41.0,5.82
The Valley,20,AI,1554087767.0,74,18.22,18.22,78.8,8.05
Gravenhurst,90,CA,1554088563.0,79,44.92,44.92,24.8,10.29
Verkh-Usugli,0,RU,1554088565.0,41,52.7,52.7,33.05,2.95
Jumla,32,NP,1554088566.0,82,29.28,29.28,34.13,1.72
Necochea,36,AR,1554088197.0,77,-38.55,-38.55,66.0,3.62
Ostrovnoy,32,RU,1554088268.0,82,68.05,68.05,22.7,17.83
Hilo,90,US,1554088266.0,83,19.71,19.71,75.2,11.41
Ranong,20,TH,1554084000.0,70,9.96,9.96,87.8,4.7
Port Augusta,0,AU,1554087981.0,52,-32.49,-32.49,72.0,9.17
Kaitangata,32,NZ,1554088463.0,33,-46.28,-46.28,62.01,21.0
Aloleng,20,PH,1554088567.0,91,16.13,16.13,83.9,6.31
Kampong Chhnang,68,KH,1554088567.0,89,12.25,12.25,80.3,5.41
Santa Maria,40,BR,1554084000.0,100,-29.69,-29.69,69.8,3.36
Constitucion,5,MX,1554088215.0,21,23.99,23.99,69.8,10.29
Tiksi,8,RU,1554088569.0,78,71.64,71.64,29.45,8.21
Krasnodon,0,UA,1554088569.0,77,48.31,48.31,36.38,3.06
Marsh Harbour,8,BS,1554088416.0,100,26.54,26.54,72.83,4.41
Adrar,0,DZ,1554087600.0,58,27.87,27.87,59.0,6.93
Hobyo,92,SO,1554088173.0,85,5.35,5.35,80.03,9.22
Misratah,88,LY,1554088570.0,87,32.38,32.38,57.53,13.8
Tura,100,IN,1554088570.0,93,25.52,25.52,68.15,4.18
Faanui,0,PF,1554088168.0,100,-16.48,-16.48,84.08,3.74
Pachino,36,IT,1554088523.0,71,36.72,36.72,46.0,5.01
Talcahuano,32,CL,1554084000.0,93,-36.72,-36.72,55.4,5.82
Chirongui,20,YT,1554085800.0,79,-12.93,-12.93,84.2,13.87
Narsaq,0,GL,1554087000.0,47,60.91,60.91,14.0,11.41
Ejido,36,VE,1554088632.0,95,8.55,8.55,60.86,1.83
Salina Cruz,20,MX,1554088632.0,60,16.18,16.18,77.96,15.03
Atasu,92,KZ,1554088632.0,98,48.68,48.68,45.65,8.99
Mayumba,100,GA,1554088632.0,97,-3.44,-3.44,81.29,5.64
Krasnogorskoye,80,RU,1554088633.0,95,57.7,57.7,35.03,13.24
Luderitz,12,NA,1554088546.0,83,-26.65,-26.65,59.96,18.84
Shama,0,YE,1554088633.0,81,15.9,15.9,67.52,3.62
Rosarito,40,CO,1554087600.0,94,4.91,4.91,75.2,2.24
Bensonville,20,LR,1554084000.0,94,6.45,6.45,77.0,4.74
Flinders,75,AU,1554088540.0,72,-34.58,-34.58,72.0,6.93
Waitati,32,NZ,1554088359.0,42,-45.75,-45.75,64.0,17.0
Kamaishi,75,JP,1554084000.0,74,39.28,39.28,37.4,3.62
Chumikan,80,RU,1554088602.0,68,54.72,54.72,31.07,4.41
Thompson,75,CA,1554084000.0,62,55.74,55.74,24.8,5.82
Ilhabela,76,BR,1554088561.0,98,-23.78,-23.78,76.7,14.7
Trinidad,64,UY,1554088635.0,73,-33.52,-33.52,70.31,7.54
Marsaxlokk,0,MT,1554088624.0,93,35.84,35.84,51.01,2.24
Mizdah,80,LY,1554088635.0,52,31.45,31.45,53.57,4.18
San Juan de Uraba,76,CO,1554088635.0,98,8.76,8.76,80.93,12.01
Nanyang,0,CN,1554088382.0,19,33.0,33.0,69.01,8.66
Port Lincoln,24,AU,1554088636.0,94,-34.72,-34.72,65.18,2.95
Olinda,75,EC,1554087895.0,78,-2.03,-2.03,80.6,9.17
Hofn,68,IS,1554088636.0,99,64.25,64.25,40.16,16.93
Kahului,75,US,1554088621.0,57,20.89,20.89,80.6,11.41
Gouyave,20,GD,1554084000.0,83,12.16,12.16,78.8,13.87
Bereda,0,ES,1554088513.0,100,43.27,43.27,55.0,1.12
Nouadhibou,8,MR,1554084000.0,82,20.93,20.93,62.6,13.87
Chapais,75,CA,1554084000.0,56,49.78,49.78,14.0,13.87
San Cristobal,20,EC,1554087714.0,87,-0.39,-0.39,57.2,2.24
Mount Isa,0,AU,1554085800.0,30,-20.73,-20.73,80.6,12.75
Vila Velha,68,BR,1554088423.0,100,-3.71,-3.71,79.0,1.99
Whitianga,92,NZ,1554088510.0,96,-36.83,-36.83,70.0,7.0
Ifakara,80,TZ,1554088638.0,95,-8.13,-8.13,70.76,1.28
Grand Forks,90,US,1554088602.0,73,47.91,47.91,32.0,3.36
Laguna,20,MX,1554082800.0,43,27.52,27.52,71.6,4.7
Yumen,64,CN,1554088639.0,38,40.29,40.29,49.61,5.08
Bria,44,CF,1554088639.0,74,6.54,6.54,73.01,3.51
Price,1,US,1554088444.0,33,39.6,39.6,44.6,8.05
Bredy,24,RU,1554088639.0,93,52.43,52.43,26.48,11.9
Svetlogorsk,20,RU,1554085800.0,80,53.14,53.14,35.6,8.95
Bocas del Toro,12,PA,1554088210.0,62,9.33,9.33,60.01,5.01
Gamba,24,CN,1554088640.0,79,28.28,28.28,19.28,2.73
Juneau,1,US,1554083760.0,22,58.3,58.3,57.2,6.93
Pangnirtung,76,CA,1554088606.0,75,66.15,66.15,7.31,7.2
Governador Valadares,88,BR,1554088609.0,67,-18.85,-18.85,74.81,10.67
Ayan,48,TR,1554088641.0,81,40.67,40.67,23.33,2.28
Lompoc,1,US,1554088538.0,71,34.64,34.64,64.4,3.36
Yar-Sale,56,RU,1554088630.0,86,66.83,66.83,21.08,14.7
Kisesa,88,TZ,1554088701.0,100,-2.55,-2.55,67.88,10.78
Hervey Bay,75,AU,1554088522.0,50,-25.3,-25.3,82.99,16.11
Saint Anthony,40,US,1554088229.0,48,43.97,43.97,48.2,8.05
Boa Vista,0,BR,1554087600.0,42,2.82,2.82,86.0,8.05
Codrington,90,AU,1554088412.0,53,-28.95,-28.95,77.0,6.93
Rio Gallegos,90,AR,1554084000.0,87,-51.62,-51.62,51.8,4.7
Aksarka,36,RU,1554088703.0,92,66.56,66.56,21.44,10.89
Honningsvag,40,NO,1554087000.0,86,70.98,70.98,28.4,39.15
Nelson Bay,90,AU,1554088551.0,93,-32.72,-32.72,68.0,8.05
Deputatskiy,32,RU,1554088704.0,90,69.3,69.3,19.01,3.74
Ziro,92,IN,1554088704.0,98,27.54,27.54,50.33,1.83
Zambezi,0,ZM,1554088704.0,70,-13.55,-13.55,62.75,6.42
Bonthe,0,SL,1554088704.0,91,7.53,7.53,80.75,4.41
Georgetown,20,GY,1554084000.0,88,6.8,6.8,75.2,4.7
Grindavik,40,IS,1554088015.0,100,63.84,63.84,32.0,13.87
Okha,88,RU,1554088705.0,95,53.59,53.59,23.96,15.48
Calatayud,92,ES,1554088528.0,93,41.35,41.35,50.0,9.17
Mayo,75,CA,1554084000.0,34,63.59,63.59,51.8,5.82
Prachuap Khiri Khan,0,TH,1554088705.0,64,11.81,11.81,86.33,2.95
Butaritari,88,KI,1554088706.0,100,3.07,3.07,80.93,9.55
Palekh,24,RU,1554088706.0,92,56.8,56.8,30.98,13.91
Asahikawa,40,JP,1554084000.0,42,43.76,43.76,30.2,2.24
Sinnamary,56,GF,1554088706.0,96,5.38,5.38,79.58,8.66
Esperance,20,TT,1554088525.0,83,10.24,10.24,77.0,6.93
Baracoa,8,CU,1554088707.0,100,20.35,20.35,75.71,11.01
Lewistown,1,US,1554088615.0,80,40.39,40.39,34.0,3.36
Prince Rupert,1,CA,1554084000.0,57,54.32,54.32,51.8,4.7
Gazli,0,UZ,1554088707.0,69,40.13,40.13,38.36,6.64
Breytovo,36,RU,1554088708.0,83,58.3,58.3,25.04,7.76
Lorengau,88,PG,1554088609.0,94,-2.02,-2.02,84.35,11.56
Sechura,0,PE,1554088692.0,71,-5.56,-5.56,73.91,13.13
Northam,0,GB,1554088641.0,80,51.04,51.04,42.01,12.75
