City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Walvis Bay,0,NA,1554087732.0,68,-22.95,-22.95,66.2,10.29
Arauco,0,CL,1554084000.0,93,-37.25,-37.25,55.4,5.82
Huarmey,8,PE,1554088709.0,90,-10.07,-10.07,64.28,3.96
Gawler,20,AU,1554088628.0,42,-34.6,-34.6,70.0,12.75
Alta Floresta,32,BR,1554088625.0,92,-9.87,-9.87,76.16,0.72
Matara,64,PE,1554088709.0,95,-13.74,-13.74,43.31,1.61
Mawlaik,24,MM,1554088709.0,83,23.63,23.63,73.46,2.39
Bajil,80,ES,1554088710.0,98,38.23,38.23,46.55,2.95
Jerez,92,ES,1554088518.0,100,36.68,36.68,60.8,4.7
Enid,90,US,1554088597.0,61,36.4,36.4,42.01,4.7
Pinyug,92,RU,1554088710.0,99,60.25,60.25,33.23,5.41
Te Anau,48,NZ,1554088710.0,68,-45.41,-45.41,49.25,12.24
Sindor,32,RU,1554088711.0,75,62.87,62.87,16.13,2.73
Lodja,8,CD,1554088711.0,93,-3.52,-3.52,73.46,2.28
Hami,88,CN,1554088711.0,47,42.84,42.84,55.55,6.2
Tutoia,88,BR,1554088711.0,99,-2.76,-2.76,77.24,3.62
Iralaya,68,HN,1554088771.0,96,15.0,15.0,76.43,6.53
Rome,0,IT,1554088569.0,75,41.89,41.89,53.01,2.24
Tyret Pervaya,0,RU,1554088772.0,92,53.67,53.67,39.26,6.76
Carnarvon,0,ZA,1554088495.0,46,-30.97,-30.97,48.71,10.78
Alofi,92,NU,1554084000.0,83,-19.06,-19.06,80.6,10.29
Lingao,76,CN,1554088772.0,75,19.91,19.91,82.19,9.1
Terrace Bay,8,CA,1554088638.0,90,48.78,48.78,29.36,11.34
College,1,US,1554088723.0,40,64.86,64.86,55.4,3.62
Egvekinot,76,RU,1554088773.0,92,66.32,66.32,30.62,3.51
Altamont,1,CA,1554088215.0,100,49.4,49.4,32.0,3.96
Sivaki,0,RU,1554088773.0,37,52.63,52.63,36.2,3.74
La Ronge,75,CA,1554084000.0,54,55.1,55.1,32.0,2.24
Reconquista,68,AR,1554088504.0,83,-29.14,-29.14,76.88,11.9
Borgarnes,75,IS,1554088614.0,80,64.54,64.54,32.0,12.75
Kloulklubed,75,PW,1554087000.0,74,7.04,7.04,84.2,13.87
Mehamn,40,NO,1554087000.0,86,71.03,71.03,28.4,39.15
Nabire,48,ID,1554088774.0,85,-3.36,-3.36,78.23,2.62
Munster,0,DE,1554088630.0,74,52.99,52.99,33.8,4.7
Saint-Augustin,0,FR,1554088278.0,75,44.83,44.83,46.4,4.18
Tuatapere,76,NZ,1554088207.0,73,-46.13,-46.13,53.01,7.0
Manchester,90,US,1554088654.0,69,43.0,43.0,41.0,17.22
Caravelas,0,BR,1554088776.0,100,-17.73,-17.73,81.02,12.01
Birao,0,CF,1554088776.0,31,10.3,10.3,67.61,7.99
Elizabeth City,75,US,1554088516.0,76,36.3,36.3,51.01,4.29
Williams Lake,20,CA,1554084000.0,31,52.13,52.13,50.0,10.29
Mana,0,RS,1554087600.0,72,43.52,43.52,35.6,2.28
Oum Hadjer,0,TD,1554088776.0,20,13.3,13.3,72.38,11.45
Moga,0,IN,1554088777.0,69,30.82,30.82,74.63,4.63
Mbumi,24,TZ,1554088777.0,97,-7.91,-7.91,72.47,3.74
Sterling,20,US,1554088766.0,37,39.0,39.0,37.99,32.21
Basco,1,US,1554088554.0,81,40.33,40.33,37.0,3.36
Portree,80,GB,1554088571.0,75,57.41,57.41,39.99,5.99
Jalu,0,LY,1554088778.0,68,29.03,29.03,47.9,3.74
Sobolevo,24,RU,1554088778.0,73,54.43,54.43,33.59,15.48
Strezhevoy,75,RU,1554085800.0,92,60.73,60.73,30.2,17.9
Gunjur,40,GM,1554084000.0,64,13.18,13.18,73.4,8.05
Los Llanos de Aridane,92,ES,1554085800.0,72,28.66,28.66,59.0,6.93
Zimovniki,0,RU,1554088779.0,75,47.15,47.15,31.61,8.21
Hay River,75,CA,1554084000.0,74,60.82,60.82,37.4,12.75
Mazatlan,5,MX,1554088626.0,68,23.22,23.22,73.0,6.93
Abu Kamal,64,SY,1554088779.0,91,34.45,34.45,46.28,10.22
Yabrud,40,SY,1554088530.0,87,33.97,33.97,46.4,9.17
Kostomuksha,0,RU,1554088780.0,85,64.59,64.59,22.25,6.64
Tezu,92,IN,1554088780.0,100,27.93,27.93,53.57,1.72
Barmer,0,IN,1554088780.0,25,25.74,25.74,82.46,2.95
Isangel,75,VU,1554084000.0,79,-19.55,-19.55,84.2,9.17
Saint-Pierre,0,FR,1554088625.0,62,48.95,48.95,51.8,10.29
Jamsa,0,FI,1554088661.0,92,61.86,61.86,30.0,8.05
Marinette,1,US,1554088752.0,73,45.1,45.1,30.2,6.98
Labuhan,36,ID,1554088781.0,73,-2.54,-2.54,85.43,2.73
Khatanga,88,RU,1554088842.0,97,71.98,71.98,30.53,6.64
Kampot,40,KH,1554085800.0,70,10.62,10.62,87.8,9.17
Sur,0,OM,1554088595.0,79,22.57,22.57,79.31,4.18
Ponta Delgada,75,PT,1554087600.0,82,37.73,37.73,55.4,12.75
Newton Abbot,0,GB,1554088836.0,78,50.53,50.53,44.01,1.99
Pleshanovo,0,RU,1554084000.0,76,57.46,57.46,32.0,8.95
Salinopolis,92,BR,1554088843.0,100,-0.61,-0.61,79.04,8.32
Clarence Town,90,AU,1554088834.0,93,-32.59,-32.59,71.01,8.05
Soyo,8,AO,1554088843.0,96,-6.13,-6.13,78.05,3.62
Izvestkovyy,32,RU,1554088843.0,45,48.98,48.98,32.24,3.4
Arman,36,RU,1554088844.0,68,59.7,59.7,28.01,10.78
Dourbali,0,TD,1554088844.0,21,11.81,11.81,75.8,12.57
Nome,1,US,1554088808.0,75,30.04,30.04,48.99,6.08
Luanda,75,AO,1554084000.0,94,-8.83,-8.83,77.0,9.17
Griffith,90,AU,1554088819.0,46,-34.29,-34.29,71.6,6.93
Bemidji,90,US,1554088802.0,92,47.48,47.48,30.0,3.96
Fort Myers Beach,1,US,1554088721.0,77,26.45,26.45,71.6,5.82
Mnogovershinnyy,80,RU,1554088845.0,68,53.94,53.94,24.05,4.85
Methoni,0,GR,1554088532.0,86,36.82,36.82,52.0,17.05
Santa Marta,75,CO,1554088821.0,66,11.24,11.24,86.0,9.17
Vangaindrano,92,MG,1554088846.0,100,-23.35,-23.35,67.88,2.73
Gela,48,IT,1554088824.0,70,37.07,37.07,46.0,5.01
Guerrero Negro,48,MX,1554088685.0,29,27.97,27.97,71.66,10.56
Bafoulabe,0,ML,1554088846.0,66,13.81,13.81,74.9,2.95
Kyzyl-Suu,0,KG,1554088697.0,82,42.34,42.34,21.0,5.01
Jiazi,75,CN,1554084000.0,100,19.61,19.61,71.6,4.47
Terra Rica,24,BR,1554088847.0,73,-22.73,-22.73,73.82,7.54
Minas Novas,80,BR,1554088847.0,71,-17.22,-17.22,71.48,8.77
Fukue,20,JP,1554088636.0,53,35.03,35.03,60.01,16.11
Palmer,1,US,1554088804.0,34,61.6,61.6,53.01,4.7
Calabozo,88,VE,1554088848.0,47,8.92,8.92,89.48,12.68
Nantucket,90,US,1554088568.0,81,41.28,41.28,42.8,19.46
Gushikawa,75,JP,1554087146.0,52,26.35,26.35,64.4,18.34
Vestmannaeyjar,0,IS,1554088848.0,100,63.44,63.44,32.96,9.55
Karratha,0,AU,1554088848.0,28,-20.74,-20.74,98.03,3.62
Hulan,90,IR,1554085800.0,93,34.23,34.23,41.0,2.62
Brenham,1,US,1554088771.0,81,30.17,30.17,46.99,7.87
Springbok,0,ZA,1554088849.0,90,-29.67,-29.67,43.04,3.4
Panguipulli,90,CL,1554084000.0,87,-39.64,-39.64,55.4,3.36
Ormara,0,PK,1554088849.0,70,25.21,25.21,76.7,7.43
Kroya,20,ID,1554088850.0,85,-6.5,-6.5,84.71,2.73
Ypsonas,40,CY,1554088628.0,87,34.69,34.69,51.8,4.7
Margate,40,AU,1554088816.0,41,-43.03,-43.03,64.99,8.05
Ghanzi,88,BW,1554088850.0,60,-21.7,-21.7,74.36,0.83
San Patricio,76,PY,1554088850.0,72,-26.98,-26.98,78.41,3.96
Banjar,36,ID,1554088627.0,78,-7.37,-7.37,82.55,3.74
Katobu,36,ID,1554088553.0,87,-4.94,-4.94,85.25,2.95
Havoysund,75,NO,1554087000.0,92,71.0,71.0,26.6,29.97
Mackay,75,CA,1554084000.0,73,53.65,53.65,39.2,4.7
Araouane,20,ML,1554088851.0,42,18.9,18.9,76.88,10.22
Leningradskiy,56,RU,1554088911.0,92,69.38,69.38,11.0,12.24
Stepnyak,0,KZ,1554088912.0,78,52.83,52.83,25.31,5.41
Toora-Khem,32,RU,1554088912.0,66,52.47,52.47,37.91,2.84
Alice Springs,0,AU,1554085800.0,26,-23.7,-23.7,77.0,14.99
Amga,0,RU,1554088912.0,60,60.89,60.89,27.11,3.62
Grand Gaube,20,MU,1554088442.0,88,-20.01,-20.01,75.99,6.93
Cortez,1,US,1554088706.0,69,37.35,37.35,35.6,2.17
Fatsa,75,TR,1554087000.0,86,41.03,41.03,39.2,4.7
Wewak,48,PG,1554088913.0,90,-3.55,-3.55,82.46,3.4
Axim,8,GH,1554088913.0,100,4.87,4.87,82.55,6.64
Boa Viagem,92,BR,1554088914.0,97,-5.13,-5.13,71.66,3.4
Simplicio Mendes,92,BR,1554088914.0,98,-7.85,-7.85,71.48,5.64
Cordoba,76,CO,1554088914.0,92,5.59,5.59,54.11,0.04
Abu Samrah,88,SY,1554088914.0,99,35.3,35.3,47.81,7.2
Cascais,20,PT,1554088841.0,93,38.7,38.7,59.0,4.7
Cortes,36,PH,1554088915.0,77,9.28,9.28,81.56,4.07
Mount Gambier,90,AU,1554084000.0,51,-37.83,-37.83,62.6,5.82
Gazojak,0,TM,1554088915.0,83,41.19,41.19,33.95,2.95
Gelemso,76,ET,1554088915.0,63,8.81,8.81,59.33,2.73
Ondjiva,76,AO,1554088915.0,76,-17.07,-17.07,67.52,9.1
Uglich,20,RU,1554088916.0,86,57.53,57.53,24.23,7.43
Wufeng,75,TW,1554088870.0,88,24.63,24.63,64.99,26.4
Tiruchchendur,20,IN,1554085800.0,62,8.48,8.48,86.0,6.08
Goryachegorsk,0,RU,1554088916.0,61,55.41,55.41,35.03,9.89
Suntar,20,RU,1554088640.0,60,62.16,62.16,35.3,4.52
Eyl,80,SO,1554088916.0,100,7.98,7.98,78.23,5.86
Whitehorse,40,CA,1554088750.0,36,60.72,60.72,48.2,4.7
Novyy Urengoy,20,RU,1554088850.0,91,66.08,66.08,25.49,12.24
Xining,8,CN,1554088917.0,31,36.62,36.62,48.17,3.06
Portland,90,US,1554088637.0,34,45.52,45.52,64.4,3.36
Liberia,0,CR,1554087600.0,54,10.63,10.63,82.4,2.24
Vredendal,80,ZA,1554088918.0,94,-31.68,-31.68,55.73,3.29
Baturaja,88,ID,1554088918.0,99,-4.12,-4.12,76.97,4.97
Aginskoye,8,RU,1554088800.0,88,51.11,51.11,34.0,7.0
Harper,1,US,1554088819.0,48,30.3,30.3,46.4,5.82
Sri Aman,75,MY,1554084000.0,74,1.24,1.24,86.0,2.24
Kavieng,36,PG,1554088919.0,100,-2.57,-2.57,82.46,7.87
Brooks,92,CA,1554088676.0,58,50.57,50.57,37.99,6.2
San Policarpo,8,PH,1554088919.0,82,12.18,12.18,82.55,12.12
Agaro,48,ET,1554088919.0,94,7.86,7.86,55.82,2.73
Rognan,75,NO,1554088850.0,85,67.1,67.1,32.0,10.29
Terra Santa,20,BR,1554088920.0,92,-2.1,-2.1,78.14,3.74
Costinesti,0,RO,1554087600.0,60,43.95,43.95,41.0,11.41
Laizhou,0,CN,1554088920.0,46,37.18,37.18,57.89,7.99
Apastepeque,0,SV,1554087000.0,88,13.67,13.67,80.6,3.36
Inuvik,90,CA,1554086460.0,73,68.36,68.36,26.6,12.75
Iaciara,32,BR,1554088921.0,74,-14.1,-14.1,74.27,4.41
Ustka,0,PL,1554088921.0,92,54.58,54.58,37.1,7.2
Kruisfontein,32,ZA,1554088921.0,91,-34.0,-34.0,58.7,22.08
Vanimo,32,PG,1554088741.0,100,-2.67,-2.67,82.1,13.24
Anloga,20,GH,1554084000.0,83,5.79,5.79,82.4,2.24
Lasa,40,CY,1554087697.0,87,34.92,34.92,51.8,4.7
Gambo,0,NG,1554088978.0,26,11.96,11.96,74.09,11.23
Alekseyevsk,0,RU,1554088982.0,55,57.84,57.84,38.45,4.97
Kualakapuas,40,ID,1554085800.0,78,-3.01,-3.01,82.4,6.93
Broken Hill,32,AU,1554084000.0,45,-31.97,-31.97,68.0,9.17
Stendal,0,DE,1554088945.0,77,52.61,52.61,35.01,5.86
Souillac,0,FR,1554088806.0,61,45.6,45.6,48.2,2.24
Sao Felix do Xingu,0,BR,1554088983.0,98,-6.64,-6.64,73.46,2.39
Durg,20,IN,1554084000.0,54,21.19,21.19,80.6,3.36
Muros,0,ES,1554088976.0,87,42.77,42.77,57.99,2.24
Honiara,76,SB,1554088984.0,100,-9.43,-9.43,77.33,1.72
Chushan,8,CN,1554088984.0,51,33.3,33.3,67.43,10.89
Mbanza-Ngungu,0,CD,1554088946.0,93,-5.25,-5.25,68.33,2.73
Faya,20,SA,1554087600.0,71,18.39,18.39,59.0,11.41
Wajima,75,JP,1554084000.0,73,37.4,37.4,41.0,2.24
Buin,0,CL,1554084000.0,72,-33.73,-33.73,60.8,4.7
Comodoro Rivadavia,0,AR,1554084000.0,35,-45.87,-45.87,69.8,10.29
Talnakh,88,RU,1554088985.0,97,69.49,69.49,29.27,13.8
Bathsheba,20,BB,1554084000.0,73,13.22,13.22,77.0,10.29
Makarov,56,RU,1554088986.0,74,48.62,48.62,26.84,10.67
Pangai,40,TO,1554087600.0,83,-19.8,-19.8,82.4,11.41
Salina,1,US,1554088943.0,69,36.29,36.29,44.6,6.98
Ulaangom,20,MN,1554088987.0,89,49.98,49.98,35.39,2.84
Petropavlovsk-Kamchatskiy,64,RU,1554085800.0,69,53.05,53.05,33.8,11.18
Ewo,0,CG,1554088987.0,87,-0.88,-0.88,74.27,2.73
Loandjili,20,CG,1554087600.0,100,-4.77,-4.77,77.0,1.12
Finote Selam,12,ET,1554088987.0,49,10.7,10.7,52.85,4.85
Sangar,12,RU,1554088988.0,63,63.92,63.92,25.94,2.95
Darnah,0,LY,1554088955.0,100,32.77,32.77,59.96,17.94
Vila Franca do Campo,75,PT,1554087600.0,82,37.72,37.72,55.4,12.75
Pisco,12,PE,1554084000.0,73,-13.71,-13.71,75.2,9.17
El Alto,40,BO,1554084000.0,87,-16.5,-16.5,46.4,4.7
Grand-Lahou,0,CI,1554088989.0,93,5.24,5.24,78.41,3.74
Gohpur,92,IN,1554088989.0,100,26.89,26.89,62.21,3.06
Srinagar,0,IN,1554088725.0,82,34.07,34.07,32.69,1.95
Bereznik,12,RU,1554088989.0,72,62.86,62.86,19.01,5.75
Mkushi,0,ZM,1554088989.0,80,-13.61,-13.61,57.35,3.06
Tazovskiy,12,RU,1554088990.0,98,67.47,67.47,27.83,13.69
Porto Torres,0,IT,1554088984.0,87,40.84,40.84,51.01,4.7
Limbang,75,BN,1554085800.0,62,4.75,4.75,86.0,13.87
Manadhoo,0,MV,1554088990.0,100,5.77,5.77,83.9,2.39
Soe,0,EE,1554088816.0,74,57.91,57.91,33.01,13.87
Bubaque,0,GW,1554088991.0,91,11.28,11.28,82.55,4.85
Poso,88,ID,1554088991.0,100,-1.4,-1.4,79.04,4.63
Charters Towers,64,AU,1554088991.0,85,-20.07,-20.07,72.38,8.21
Lerwick,68,GB,1554087000.0,81,60.15,60.15,42.8,18.34
Miri,8,NG,1554088991.0,62,10.31,10.31,64.01,2.62
Fairbanks,1,US,1554088852.0,52,64.84,64.84,54.0,4.7
Veraval,0,FR,1554088975.0,81,49.65,49.65,48.0,10.29
Taltal,12,CL,1554089052.0,100,-25.41,-25.41,55.19,1.5
Trat,20,TH,1554088974.0,70,12.25,12.25,91.0,2.24
Tessalit,92,ML,1554089053.0,37,20.2,20.2,77.06,10.67
General Roca,0,AR,1554084000.0,56,-39.03,-39.03,73.4,3.36
Chapada dos Guimaraes,75,BR,1554084000.0,79,-15.46,-15.46,84.2,2.24
Mongu,0,ZM,1554089053.0,71,-15.27,-15.27,61.58,2.95
Kholtoson,0,RU,1554089053.0,46,50.3,50.3,40.16,3.51
Tomatlan,0,MX,1554089054.0,81,19.93,19.93,66.26,2.28
Prieska,0,ZA,1554089054.0,27,-29.67,-29.67,63.65,8.21
Sao Jose da Coroa Grande,88,BR,1554089054.0,98,-8.9,-8.9,77.96,2.95
Vikindu,20,TZ,1554087600.0,100,-6.98,-6.98,77.0,2.62
Dakar,0,SN,1554085800.0,72,14.69,14.69,66.2,21.92
Ballina,32,IE,1554088924.0,87,54.11,54.11,42.01,5.99
Boyolangu,56,ID,1554089055.0,89,-8.09,-8.09,79.22,4.18
Mayya,0,RU,1554085800.0,62,61.74,61.74,21.2,4.47
Pontes e Lacerda,8,BR,1554089055.0,91,-15.23,-15.23,74.0,2.73
Tevriz,0,RU,1554089055.0,76,57.51,57.51,32.06,8.21
Mindelo,0,PT,1554088863.0,67,41.31,41.31,59.0,4.7
Mackenzie,75,CA,1554085800.0,80,55.34,55.34,44.6,5.82
Leshukonskoye,8,RU,1554089056.0,90,64.9,64.9,24.86,4.52
Orocue,44,CO,1554089056.0,96,4.79,4.79,75.8,2.95
Boende,0,CD,1554089056.0,89,-0.28,-0.28,76.25,3.74
Hailey,40,US,1554088535.0,69,43.52,43.52,35.6,2.17
Kholodnyy,0,RU,1554089057.0,71,62.72,62.72,19.64,4.63
Nola,8,CF,1554089057.0,79,3.52,3.52,73.91,3.74
Gotsu,75,JP,1554084000.0,52,35.01,35.01,44.6,17.22
Wenling,0,CN,1554089032.0,43,28.38,28.38,62.01,4.0
Broome,0,GB,1554089003.0,80,52.47,52.47,44.01,5.82
Vicente Guerrero,90,MX,1554083100.0,38,16.93,16.93,73.4,10.29
Rawson,0,AR,1554089058.0,49,-43.3,-43.3,57.26,2.95
Batagay-Alyta,24,RU,1554089058.0,87,67.8,67.8,22.43,4.18
Springfield,1,US,1554089045.0,69,37.22,37.22,39.0,6.42
Kitimat,20,CA,1554084000.0,30,54.02,54.02,57.2,8.05
Alzamay,56,RU,1554089059.0,78,55.55,55.55,43.22,4.18
Ust-Kan,36,RU,1554089060.0,80,50.93,50.93,38.54,2.51
Champerico,75,MX,1554086640.0,61,16.38,16.38,78.8,28.86
Beloha,0,MG,1554089060.0,82,-25.17,-25.17,59.96,3.06
Hudiksvall,0,SE,1554089061.0,85,61.73,61.73,32.24,9.55
Gairo,44,TZ,1554089061.0,97,-6.14,-6.14,60.68,2.95
Warrnambool,44,AU,1554088932.0,53,-38.38,-38.38,64.99,1.01
Lagoa,75,PT,1554088937.0,87,37.14,37.14,59.0,5.82
Qandala,12,SO,1554089061.0,88,11.47,11.47,64.55,2.84
Jadu,92,LY,1554089062.0,82,31.95,31.95,55.1,13.24
Bonoua,20,CI,1554085800.0,94,5.27,5.27,82.4,2.24
Esil,0,KZ,1554089062.0,87,51.96,51.96,28.28,7.09
Anadyr,90,RU,1554088946.0,94,64.73,64.73,33.8,26.84
Yen Bai,88,VN,1554089062.0,98,21.7,21.7,69.95,3.74
Henties Bay,0,NA,1554087732.0,87,-22.12,-22.12,62.01,5.01
Mersing,36,MY,1554089063.0,88,2.43,2.43,85.25,2.95
Isla Mujeres,40,MX,1554088341.0,74,21.23,21.23,78.8,9.17
Hirara,75,JP,1554087600.0,82,24.8,24.8,62.6,17.22
Ahuimanu,1,US,1554089072.0,57,21.44,21.44,80.6,6.93
Tias,0,ES,1554087600.0,77,28.96,28.96,64.4,2.24
Severnoye,92,RU,1554089124.0,93,54.09,54.09,35.21,13.69
Pitimbu,90,BR,1554084000.0,100,-7.47,-7.47,77.0,5.82
Xinyu,36,CN,1554089124.0,84,27.8,27.8,60.77,7.99
Verkh-Chebula,68,RU,1554089125.0,68,56.03,56.03,36.11,14.03
Brokopondo,0,SR,1554084000.0,83,5.06,5.06,77.0,3.36
Hamada,75,JP,1554084000.0,52,34.9,34.9,44.6,17.22
Kavaratti,0,IN,1554089125.0,99,10.57,10.57,84.62,9.22
Portales,90,US,1554089110.0,41,34.19,34.19,43.0,6.93
Cienfuegos,64,CU,1554087540.0,73,22.15,22.15,73.4,4.7
Kununurra,0,AU,1554085800.0,18,-15.77,-15.77,91.4,12.75
Wilkes-Barre,90,US,1554088943.0,43,41.25,41.25,36.0,16.11
Mitzic,36,GA,1554089126.0,92,0.78,0.78,74.72,1.61
Kodinsk,44,RU,1554089126.0,80,58.6,58.6,40.16,7.99
Shache,0,CN,1554089118.0,45,38.42,38.42,53.57,4.41
Foumban,12,CM,1554089127.0,88,5.73,5.73,56.72,2.62
Paamiut,76,GL,1554089127.0,100,61.99,61.99,26.03,11.23
Bongandanga,48,CD,1554089127.0,93,1.51,1.51,75.26,2.17
Victoria,75,BN,1554085800.0,62,5.28,5.28,86.0,10.29
Ternate,75,PH,1554088770.0,59,14.29,14.29,89.6,9.17
Kerema,48,PG,1554089128.0,79,-7.96,-7.96,81.92,2.95
